run_combo,n_models,blend_mode,temperature,weights,oof_macro_f1,submission_fp
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,1.0,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3, 'baseline_convnext_tiny_img320_20260328_233846': 0.3, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.4}",0.9207284221231739,fad3d045380706976647d6b5d9441977
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,1.05,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3495, 'baseline_convnext_tiny_img320_20260328_233846': 0.298, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.3525}",0.9207284221231739,fad3d045380706976647d6b5d9441977
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,1.0,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3495, 'baseline_convnext_tiny_img320_20260328_233846': 0.298, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.3525}",0.9207284221231739,fad3d045380706976647d6b5d9441977
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,geom,0.95,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.2641, 'baseline_convnext_tiny_img320_20260328_233846': 0.1874, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.5485}",0.9206683415254382,5893d661a587d019fc3e625624d31bf8
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,geom,1.05,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.2641, 'baseline_convnext_tiny_img320_20260328_233846': 0.1874, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.5485}",0.9206683415254382,5893d661a587d019fc3e625624d31bf8
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,geom,1.0,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.2641, 'baseline_convnext_tiny_img320_20260328_233846': 0.1874, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.5485}",0.9206683415254382,5893d661a587d019fc3e625624d31bf8
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,1.05,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3635, 'baseline_convnext_tiny_img320_20260328_233846': 0.1448, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.4917}",0.9206418463091847,8b82c024d1852e43682c78fb43f08774
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,1.0,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3641, 'baseline_convnext_tiny_img320_20260328_233846': 0.1348, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.5011}",0.9206418463091847,8b82c024d1852e43682c78fb43f08774
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,0.95,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3641, 'baseline_convnext_tiny_img320_20260328_233846': 0.1348, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.5011}",0.9206418463091847,8b82c024d1852e43682c78fb43f08774
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,geom,1.05,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3, 'baseline_convnext_tiny_img320_20260328_233846': 0.3, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.4}",0.9206147061717398,fad3d045380706976647d6b5d9441977
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,geom,0.95,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3, 'baseline_convnext_tiny_img320_20260328_233846': 0.3, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.4}",0.9206147061717398,fad3d045380706976647d6b5d9441977
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,geom,1.0,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3, 'baseline_convnext_tiny_img320_20260328_233846': 0.3, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.4}",0.9206147061717398,fad3d045380706976647d6b5d9441977
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,geom,1.0,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3, 'baseline_convnext_tiny_img320_20260328_233846': 0.2, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.5}",0.9205271081338603,2e1c4a9e4d830c9c201c3d4566869e96
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,geom,0.95,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3147, 'baseline_convnext_tiny_img320_20260328_233846': 0.2122, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.4731}",0.9205271081338603,f79bc72fb664fe1109dca8d48e21218e
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,geom,1.05,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3, 'baseline_convnext_tiny_img320_20260328_233846': 0.2, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.5}",0.9205271081338603,2e1c4a9e4d830c9c201c3d4566869e96
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,geom,1.05,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3147, 'baseline_convnext_tiny_img320_20260328_233846': 0.2122, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.4731}",0.9205271081338603,f79bc72fb664fe1109dca8d48e21218e
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,geom,0.95,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3, 'baseline_convnext_tiny_img320_20260328_233846': 0.2, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.5}",0.9205271081338603,2e1c4a9e4d830c9c201c3d4566869e96
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,geom,1.0,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3147, 'baseline_convnext_tiny_img320_20260328_233846': 0.2122, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.4731}",0.9205271081338603,f79bc72fb664fe1109dca8d48e21218e
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,1.05,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3583, 'baseline_convnext_tiny_img320_20260328_233846': 0.2118, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.4299}",0.9205210071094263,8d92fec70bca95021954ce1135628b4b
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,0.95,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3583, 'baseline_convnext_tiny_img320_20260328_233846': 0.2118, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.4299}",0.9205210071094263,8d92fec70bca95021954ce1135628b4b
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,1.05,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3147, 'baseline_convnext_tiny_img320_20260328_233846': 0.2122, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.4731}",0.9205210071094263,f163a7f0c9f77d1a6610ac87faab9bc0
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,1.0,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3546, 'baseline_convnext_tiny_img320_20260328_233846': 0.2265, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.4188}",0.9205210071094263,8d92fec70bca95021954ce1135628b4b
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,0.95,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3546, 'baseline_convnext_tiny_img320_20260328_233846': 0.2265, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.4188}",0.9205210071094263,8d92fec70bca95021954ce1135628b4b
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,1.05,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3546, 'baseline_convnext_tiny_img320_20260328_233846': 0.2265, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.4188}",0.9205210071094263,8d92fec70bca95021954ce1135628b4b
